Review
"Alhamdulillah sekarang ada akun saham syariah. Saran: menu deposit, penarikan, dan riwayat sebaiknya langsung tampilkan saja di layar menu ""portofolio"" agar lebih praktis tampilan antarmukanya. Tolong di menu portofolio setiap saham yang dimiliki dimunculkan logo perusahaan dan namanya."
"Sudah coba beberapa apk sekuritas , menurut saya Stockbit yang terbaik , ringan dan terpenting tidak ramai, carah menambahkan rekening untuk penarikan bagaimana ya ??? Saya butuh menambahkan minimal 3 rekening penarikan Dana, Terus tolong di bagian Fortofolio Order, di perbaiki lagi filtenya karena selalu kembali ke default meski sudah kami setting"
"Belakang ini. Begitu market buka suka bug/loading, sumpah bikin risih, mau aksi jual dan buy selalu ketinggalan, keburu naik/turun."
Daftar aja di persulit di suruh video call di suruh telepon truss milih jam berapa bisanya truss sudah di pilih jamnya selalu nggak jadi.. Ada yang sama pada saat pendaftaran nunggu verifikasi harus videocall atau di suruh telpon? Slowrespon banget lagi kalau di chat live support .. Mending ilangin tuhh chat live support nggak membantu sama sekali
"Saya sangat ingin berinvestasi lewat aplikasi ini Tapi setelah saya mendaftar, sudah sangat lama sampai sekarang belum aja berhasil. Katanya harus menunggu satu hari kerja tapi ternyata sampai sekarang belum ada diselesaikan oleh pihak sekuritas. Saya disuruh verifikasi melalui panggilan video call Google meeting, Tetapi setelah saya hadir di dalam rapat ternyata tidak ada yang hadir dari pihak stockbit yang ingin memverifikasi saya. Tetapi yang anehnya setelah saya hadir muncul notifikasi bahwa"
"Sangat baik dan bagus hanya saja belum pernah menggunakan nya😁 Jika pajak investasi di stockbit seperti bunga ,dividen , capital gain , pajak terutang yang sudah terpotong otomatis kita hanya perlu melaporkan nya saja ke Djp saja atau perlu membayar mandiri juga ?"
"Transaksi nego odd AADI saya terlewatkan oleh admin stockbit, tapi mereka ga mau ngaku, padahal bukti2nya sudah saya lampirkan melalui chat support. Saya sudah kirim email request transaksi tgl 11 Des 2024, namun sampai hari ini email ga dibalas, sampai dengan tadi saya ngamuk2 ke CS, barulah dibalas. CS berkilah bahwa email akan dibalas sesuai URUTAN, sementara email tgl 13 sudah mereka balas, tp email saya tgl 11 ga dibalas2. PARAHHH banget CS support stockbit! Mending pakai apps SEBELAH."
Ada beberapa hal yang tidak enak. Smartphone yang di pakai apk stockbit dianggap emulator oleh apk stockbit. Saya bingung saya pakai udah 1 tahun baru kali ini gak bisa login dianggap emulator
"Untuk sekarang, aplikasi & fitur2nya udah bagus...hanya saja tambahkan fitur transaksi saham2 dari luar negeri & transaksi bitcoin...semacam superapps investasi..."
"Terimakasih akun dah bisa dipakai kembali, mohon kedepannya ditambahkan wa fast respon untuk chat kendala, selain chat support yg ada di apk. Terimakasih"
"Mudah di pahami bagi pemula dan jelas cek ke untunganya, tingkatkan lagi kecepatan tuk jual dan belinya agar tdk kalah saing dengan yg lain."
"Stockbit sudah makin oke, tingkatkan lagi aplikasinya agar lebih ringan penggunaannya. saran: dibuatkan pasar nego bisa pasang buy sell agar lebih mudah dan praktis seperti YP CP untuk pengguna thks."
"Hati hati buat yang ingin pakai Stockbit. Akun saudara saya tiba tiba tidak bisa login dan tertulis akun terkunci, harap hubungi CS. Setelah CS dihubungi dia menyarankan pakai fitur lupa password, namun setelah digunakan lupa password email verifikasi tetap tidak masuk ke email saudara saya. Setiap berganti CS selalu pakai jawaban template untuk menggunakan fitur lupa password, padahal sudah dijelaskan email verifikasi tidak masuk ke email utama/email spam/email promotion."
bagus... cuma di stock bit tidak ada fitur untuk eksekusi cepat saat buy skaligus setting take profit dan stop loss..
"Sudah bagus tampilannya, tolong di perbaiki performanya agar lebih smooth saat mau scroll2 ttg info stiap saham."
"Chat supportnya sangat slow response dan tidak dapat memberikan jawaban yang jelas. Kasih jawaban aja gak jelas, apalagi uang pengguna. Mending cari sekuritas lain yang lebih jelas dan cepat tanggap dalam melayani konsumen."
"Terima kasih Stockbit atas atensinya, kalian is the best...👍 sy berharap Apk nya ke dpn lebih ringan, stabil dan ramah buat semua jenis device..🙏"
aduh gimana sih stock bit saya mau buat akun stock bit gak bisa padahal saya udah bikin bang jago kok gak bisa yah tolong dong solusi nya tolong banget ini mah
"Sekarang loadingnya lama, ga kaya dulu yg sekali buka langsung muncul halamannya. Tolong di perbaiki."
"Apk sangat rekomendasi karena tampilan yg menarik mudah di lihat sayz sebagai investor sangat terbantu dengan beberapa tools yg ada pada apk ini, dan juga menu portfolio yg sangat simple sehingga saya mudah untuk menganalisa dan profit sayapun terbantu konsisten juga karena kemudahan tampilan ini Terimakasih"
buat pemula ok bgtt..ada fitur stream nya jadi seru.. bisa tau informasi terkini tentang emiten yg rame .. sayang nya awal jam bursa lemot...
"Tolong dong min, kok akun saya tiba tiba diblokir sepihak oleh pihak stockbit, makin gak jelas nih stockbit, jangan mempermainkan kayak gitu dong boss, kalo gini trus semakin jelek ratingmu nanti. Tolong dibuka dong akun saya, sudah dichat live support tapi gak guna dan gak ada hasil"
"Aplikasinya sangat bagus, mudah di gunakan dan mempunyai fitur yang lengkap"
Parah nih aplikasi giliran mau jual lama banget prosesnya sampai nilai saham turun gak kayak aplikasi sebelah.aplikasi sebelah proses jual gak sampai 3 jam.kl diaplikasi ini bisa 24 jam malah lebih ujung-ujungnya gagal.aplikasi gak rekomend buat infestasi.
"Aplikasi yang ramah lingkungan, walaupun hp jadul masih bisa di akses"
"Aplikasinya humble banget buat pemula kyk saya, semoga besok ada fitur untuk menampung odd lot saham tanpa anti ribet urus dokumen.. Terima kasih develop."
"Jangan mau buka RDN disini, fee nya tdk transparan, asal2 hitung..fee margin yang mahal banget, masih byk sekuritas lain yg lebih bagus dan masuk akal!"
aslinya bagus apk ini. Cuman Coustumer service nya sangat cuek & mengecewakan (tdk responsif pada custumernya) klau di chat / di minta bantuan
"Kenapa tiba2 saya terkena late fee dan date fee, padahal sudah lama tidak melakukan transaksi Saya tidak melakukan transaksi dinatas 5jt tapi tetap terkena date fee, saya juga tidak memiliki hutang dengan pihak stockbit tapi tetap terkena late fee Tolong penjelasan yang jelas dari pihak stockbit, saya merasa dirugikan ad penarikan yang tidak saya ketahui"
Aplikasi yang sangat berguna bagi investor atau trader saham. Trading santai dan bisa order diluar jam bursa adalah fitur yang menarik. Ada juga fitur fast order yang bisa untuk scalping. Ini aplikasi sekuritas terbaik dan terlengkap untuk penggunaan mobile menurut saya. 😁⭐⭐⭐⭐⭐😁
"Saldon tertulis di T+0 nilainya sudah bukan 0, tetapi kenapa belum bisa dintarik? Bukannya harusnya bisa di tarik? Apakah ini memang bug atau secara bisnis memang demikian? Update terbaru : Saya revisi penilaian saya, ternyata hanya masalah terkait waktu transaksi. Sepertinya ada sedikit delay antara yang tertera di layar dengan yang seharusnya terjadi. Karena tadi saldo baru masuk di jam 12:00. Secara keseluruhan, fitur sudah sesuai dengan experience user. Thx u."
"Fitur nya super kumplit, friendly user bahkan untuk pemula seperti saya. Fee rendah pas dengan trader dengan equity pas pasan seperti saya..."
"aplikasi saham terbaik dalam hal antarmuka dan konunitas , meskipun konon katanya eksekusi masih kalah cepat sama sekuritas sebelah yg tower signalnya deket sama bursa"
"Aplikasi sangat membantu,sangat aman👍, kemaren saya hubungi cs tengah malam pas untuk memproses kehilangan akun di jawab dan pelayanan mantul pokok nya"
"Sangat terbantu sekali dengan aplikasi ini,saya pemula tapi optimis bisa target 100 juta pertama di taun depam"
Untuk saat ini masih bagus mulai dari layanan sampai ke aplikasi tingkatkan terus semua fiturnya yang memudahkan para pemula untuk mengerti dunia bursa
"Jangan pakai aplikasi ini brengsek mau hapus akun saja dicari kesalahan terus harus sama dengan e KTP, ini kan tanda tangan digital kenapa harus sama persis dengan e KTP"
"sangat mudah digunakan untuk melakukan transaksi baik jual atau beli saham, dan fitur 2nya melimpah, sampai foreignflow juga komplikasi.. sipppp"
Mau daftar bibit plus kenapa harus stockbitnya daftar tapi banyak kendala dan sulit login daftar akun baru
"mudah penggunaannya, kalo bisa untuk saham internasional bisa di tambahin dong.."
"fitur menu di aplikasi stocbit mudah di pahami,,moga semakin jaya"
Waktu saat menerima deposit sangat lama dan livechat customer service juga tidak responsif
"CS sangat buruk,di chat ga pernah direspon..setiap ada kendala ga prnah bales atau di layani,..tolong development di tinjau lg lah CS nya supaya kami sbg user juga nyaman.."
Aplikasi setiap habis update bukannya makin bagus. Malah makin LEMOOOOOOTTTT
"Aplikasinya mudah dan simpel, penarikan ke RDN cepat.."
"Sejauh ini aplikasi Stockbit lancar di gunakan.. tampilan UI nya bagus dan simpel, sangat mudah. Terus tingkatkan kualitas pelayanannya. Mungkin ada tambahan sedikit, Ketika membuka pengelompokan saham Syariah, Bank, Daytrade, perusahaan Holding .. ketika di pencet kembali malah langsung ke menu awal lagi .. jadi sedikit terganggu harus mengulang lagi membuka pengelompokan tersebut."
"Ini aplikasi bagus 👍 buat investasi, cuman ada yang kurang yaitu investasi emas digitalnya yang belom ada, semoga bisa di denger sama tim stockbit dan segera di adain🙏, dan tolong bikin satu aplikasi dari stockbit yang isinya berita tentang investasi/keuangan⌛."
"Semoga data di screener lebih up-to-date, bs menampilkan nilai nominal saham, jenis papan, free float, bisa lebih lengkap dari fitur yang ada di RTI."
"Sejauh ini stockbit paling bagus, paling elegan, simpel mudah dimengerti dan nyaman dipakai. Jaga kualitasnya ya 👍"
Lelet bangat sekarang lambat tentuin harga naik atau turun kadang dijual harga segitu malah beda harganya
"Dari awal balajar saham udah pakek sekuritas ini sih.Jadi simpel banget buat tampilannya,kemudian untuk pesan IPO juga pembayarannya pas waktu harga sahamnya udah fix"
Kendala lupa password akhirnya sudah teratasi setelah 1 Minggu komplain ke CS. Terima kasih tim yang sudah membantu menyelesaikan masalahnya
"Cukup bagus, mungkin bisa lebih ditingkatkan lagi untuk tingkat sensitifitasnya"
Tolong kolom bid ask dibuat panjang sampai ARA dan ARB supaya bisa BUY dan SELL Samapi kesitu. Masa harus manual ngisi. Trims semoga masukan ini diterima.
"Agak susah baca tampilan Candle stik nya, tidak seperti aplikasi sebelah."
Akhir akhir ini apk ini sering bermasalah pada saat memasukkan kode pin selalu error
Kenapa akhir2 ini aplikasi ny suka lamban respon dan terkendala jaringan ya? Apa server ny gangguan
"Tolong dong min saran aja kalo WD kalo bisa di percepat 1 hari kalo perlu beberapa menit udah masuk 2H kelamaan, kalah sama sekuritas luar 5 menit masuk"
Mudah di pahami bagi pemula fitur fiturnya sangat bagus
ingin nambahin rekening yang baru aja kok ribet banget Udah di konfirmasi tetep aja gak bisa ganti
"App ringan, tampilan mudah di mengerti, pokok keren app nya"
untuk nge sell selalu dipending apk gajelas sudah 2 hari nge sell tapi tetep ber status pending
"Jangan pakai aplikasi ini, akun saya tiba2 di suspend, sudah complain 1 minggu belum selesai2 juga. 1 minggu ngga bisa trading, dana ditahan."
Kok makin lama server makin jelek. Ga bisa masuk portofolio ga bisa masuk ke chart
Tolong dong tambah fitur lebih lengkap bandarmologi
Fiturnya lengkap banget dan mudah digunakan... Fee juga kecil... sukses terus ya stockbit...
"tolong untuk registrasi secara selfi di permudah,seharusnya kurang sempurna dikit ga masalah asal ktp kebaca.saya ulang2 gagal lg gagal lg"
"Setelah pakai apk Ajaib 👍👍👍 yg withdraw cukup 30 menit sdh succes terkirim ke rekening non RDN, eh coba Stockbit malah 2 hari baru nyampai 🤬🤬🤬 Ckup sekali dan terima kasih."
"Registrasi gak kelar kelar, jawaban dari CS terlalu template (mohon tunggu, silahkan tunggu,dsb) Masa iya 6 hari kerja gak selesai juga proses registrasi nya??"
Setelah coba membandingkan dengan apk lain ternyata stockbit emang yang paling nyaman
Sangat tidak menyesal pindah ke Aplikasi Stockbit. Tidak ngelag saat jalan trading time tanpa perlu refresh2x aplikasi
"Sangat bagus Stockbit, tampilannya sangat mudah dipahami user, keren"
Bagus buat pemula tampilan & fiturnya mudah ... rekomen banget
"Saran update, tolong di buat metode total/jumlah deposit masuk, supaya memudahkan untuk melihat udah berapa total yang sudah di depositkan."
Aplikasi yang mudah digunakan oleh pemula sekalipun. Referensi banyak. Bismillaah. Semoga cuann..
Stockbit mudah dimengerti bagi Pemula. Cuman utk Chating belum ketemu caranya
Tampilan sederhana dan mudah di pahami. Mantap deh pokoknya
"tampilan sangat bagus dengan fitur yg mudah dipahami. sayangnya, verifikasi lama bahkan sampai berminggu minggu"
"Tiap pagi error p'a . Bikin rugi 3 hari beturut turut, skrng mendingan tp masih ga ikhlas sm error kmrn"
"Tolong dong developer stockbit, versi tablet sama versi desktop di buat sama canggihnya, jangan versi tablet mirip hp yang di besarin"
mari kita kerja sama di aplikasi stockbit mudah untuk mencari penghasilan yg memuaskan!
"Paling simple, paling mudah, paling lengkap aplikasi trading"
aplikasi sekuritas paling bagus.gapang di pahamin.juwal beli juga Gapang.
"$AADI Disini ada ngga yg kesulitan Beli $AADI DIPASAR NEGO? ADMIN STOCKBIT RATA RATA SAMPAH YAH Revisi Pertama : Saya disuruh Ngirim data Permohonan Berdasarkan Gmail yg terdaftar di Stockbit, terus saya kerjakan Revisi kedua : Saya disuruh Menyertakan Alasan, Terus Saya Kerjakan Revisi ketiga : Saya Disuruh Menyertakan Tujuan, Saya kerjakan Juga Keputusan Final Transaksi Saya di tolak karena mengirim data sebelum target waktu mereka, MEREKA INI SIAPA SIH, KOK NYAMPAH YAH, MEMPERSULIT NASABAH"
"Aplikasi untuk trading yg paling mudah digunakan, fiturnya lengkap"
"Tampilan user friendly ,smooth dan biaya broker murah"
Aplikaainya sangat membantu Saya belum berani mencoba langsung tpi cukup untuk dipahami
"Bagus aplikasinya semakin hari semakin lengkap fiturnya, terutama untuk yang desktop jadi lebih memudahkan, apalagi untuk tampilannya juga simpel, kekinian, kelihatan profesional."
"Mantap. Tp mau nya min, untuk single trade nya. D bagian running trade nya, jangan asik d setting ulang aja ketika logout dr aplikasi min. Terus jika ada penambahan opsi pemantauan, klu sy sering menambahkan table price list, diikutkan jg berubah min."
"makasih banget sih sma admin yg dah bantu masuk/login.,,walau telat yh momen invest lagi keuangan dah mulai stabil.,,mulai dari nol guys"
"Mau tarik dana sungguh terlalu lama hasil penjualan saham bisa masuk ke rdn harus nunggu 3 hari kerja, trus kalo mau tarik saldo rdn ke ke rekening pribadi harus nunggu lagi 2 hari kerja kalo lewat jam 11 siang , untuk case withdraw harus perlu diperbaiki karena ini sungguh terlalu lama dalam withdraw. Deposit simple withdraw dipersulit. Mohon untuk tim @stockbit harap diperbaiki untuk withdraw nya. Terimakasih. Dan juga customer service nya sungguh lambat, jawabannya juga template sprt robot!"
Pelayanan kurang baik RDN saya bermasalah malah saling lempar masalah..padahal cuma masalah verifikasi dari stockbit ya saja sudah dua hari ber Belit beli tak ada perbaikan...akhirnya saya tidak bisa bertransaksi gara gara RDN saya tidak di verifikasi oleh stockbit cart support juga tak bergunu cuma di buat maina aja saling lempar masalah bukan di perbaiki sistemya
"Mending gak usah download, aplikasi ribet. Menambahkan rekening aja butuh proses berminggu-minggu udah gitu di tolak, customer service nya juga klo di tanya muter² gak jelas jawabannya. Aplikasi gak jelas. Udah 1 bulan sy gak bisa ganti rekening. Udah kirim lampiran data lewat support email tapi sama aja"
"aku cocok sama aplikasi ini super lengkap semua indikator ada , seenak maen game semua senjata nya lengkap aku di sini dah ada kali 5 tahunan pokok nya bagi siapa aja yg mau investasi atau trading di sini aja say sumpah aku betah di sini dari."
"Aplikasi sejauh ini bagus, ga ada masalah. Cmn banyak banget yang promosi & jualan kelas disini. Mengganggu sekali. Bahkan ada yang menipu juga. Udah dilaporkan tapi ga ada penanggulangan sama sekali dari stockbit. Note: udah sempet email cs dan ""katanya"" bakal ditindak lanjut oleh tim internal stockbit. Tapi apa faktanya? Penanggulangannya mana? Sudah berbulan-bulan bot iklan kelas masih bebas berkeliaran. Sampah sekali kinerja tim internal stockbit. Jangan heran jika saya akan pindah platform."
"Setelah di update bug / leg pada orderbook , sebelum di update biasa aja , semakin di update malah semakin gk bagus!! Tolong di perbaiki bug / leg pada orderbook nya iya!!! Sengaja di kasi bug supaya pindah ke stokbit decktop kan. Ngaku aja!!!! Stokbit aneh nilai investasi saya kurang dari 20jt kok bisa kepotong biaya datafeed aturannya kan 20jt ke atas emang anehh!!! PERBAIKI BUG SEGERAAAA!!!"
"Bikin terobosan dong, bisa order di pasar Nego di Aplikasi Android nya... Biar lebih cuan dan lebih leluasa untuk input dan tidak bikin repot AB nya..."
Pelayanan CS kurang / Lambat & tidak responsive dalam melayani. jujur agak kecewa awal kiranya bagus. rupanya dari segi pelayanan masih kurang. beda dengan sebelah respon selalu cepat
"Aplikasi nya ok, Mengenai biaya materai Rp10.000 untuk rangkuman transaksi harian, memang bisa terasa cukup signifikan bagi trader kecil jika terakumulasi dalam satu bulan. Namun, untuk trader profesional, biaya ini mungkin lebih dapat diterima mengingat volume transaksi yang lebih besar."
Untuk aplikasinya cukup handal. Fitur lumayan lengkap. Sekarang udah ada versi dekstopnya. Mantablah. Bisa ngebantu cari cuan..😂
"Belajar investasi sekaligus belajar financial utk bisnis berada dalam 1 paket, mudah dipahami dan easy banget pemakaiannya.. Recomended banget buat pemula, dipakai juga sama yg advance, maju terus stockbit 👍💪"
"CS nya gangasi solusi. Gimana bisa email ga kedaftar tp nomor telpon kedaftar? Pdhl ussername diperoleh dr email. Saya ga bisa login minta solusi CS nya, sangat lambat penanganannya trs gada solusi. Ditanya diem aja. Di lempar ke sana kemari."
Aplikasinya lengkap dan mudah di gunakannya
"Mantul apk ny.. smg aq cuan , di saham , bisa jadi Triliuner & Semoga Apk sekuritas Stockbit makin sukses !!!!🔥🔥🔥🔥"
"Daftar dan firvikasi aja dipersulit, waktu lama, respon lama,, parah"
"Yang kamu maksud udh aku coba semua tapi tetap gak bisa login alias ganti no juga supaya sama jago tetapi di situ masih di persulit, broker apaan seperti ini krencot di bagian itu pula di look juga ,mau tanya sesuatu aja susah"
"kenapa ya respons CS di bantuan dn WA lelet sekali, lama betul balasnya, tdk seperti yg lainya, lama bangetttt, padahal tdk semua permasalahan itu hrs lama, dan bnyk juga permasalahan yg harus d selesaikan dengan cepat, tolong lah stockbit, jika masih menginginkan para customer salah satunya sperti saya, tolong perbaiki kinerja layanan kalian, daripada lama2 pada ramai2 customer pada pindah ke tempat lainya yg pelayanan CS nya lbh mudah. tolonglah....."
"Layanan chat yang sangat bagus dan responsif dan UI tidak ada iklan embel"" share, iklan dan lainnya. Saran untuk penempatan menu ipo aja yang kurang bagus"
"pendaftaran sangat ribet, sehingga banyak pengguna beralih ke aplikasi lain dan aman"
Next update coba dipertimbangkan untuk merubah tampilan waktu di broksum menjadi seperti kalender yang tinggal pilih tanggalnya jadi tidak digeser ke atas dan bawah lagi
"Bilangin ke team yang build apps ini, yang lembur buat maintenance aplikasi ini makin bagus,aman dan keren.. terima kasih banyak 👍🏻👍🏻"
Keren saya suka setiap fitur2 di stockbit Ada strem juga Pantau harga secara Real-time 👍👍
"saya sebagai pemula sangat ingin belajar dr dasar..stocbit mudah di fahami dan ada juga akademi stocbit,,jd kita bs mudah mengerti.."
"saran aja untuk kode Pin, kalo bisa dibikin acak papan tombolnya kaya ipot mobile."
Kalau tampilannya ada bid / offer nya pasti lebih bagus
Stockbit rekom banget.. Tergantung kita yg mainkan. Sejauh ini tdk ada masalah.. Malah menambah income 50jt lbh
menarik si untuk yang mau invest dengan mudah dan lengkap bisa download stockbit
fiturnya simple mudah di pahami
"Masih kurang menu untuk jual odd , coba stockbit bantu retail utk mempermudah jual saham lembaran . terimakasih, semoga di dengar saran saya"
Aplikasi yang frendly untuk transaksi saham info lengkap dan fitur scranning
operator cs kurang tangap dan susah respon nya untuk sistem pembelian dan penjualan kurang garcep aplikasi susah buat berinvestasi
"Stockbit adalah pilihan yang solid bagi investor saham di Indonesia, terutama bagi mereka yang menghargai komunitas dan fitur analisis teknikal yang kuat. Meskipun ada beberapa kekurangan, seperti kecepatan aplikasi dan fitur premium, secara keseluruhan aplikasi ini memberikan nilai yang sangat baik bagi para investor yang ingin memperdalam pengetahuan mereka dan meningkatkan portofolio mereka."
pengalaman luar biasa apalagi dgn Bank Jago bebas biaya transfer josss membedakan aplikasi dgn yg lainnya
"UI & UX keren banget, user friendly, fitur lengkap, info paling lengkap dari yang lain, tapi tolong di bagian Orderbook selain ARA/ARB kasih info harga Prev, jadi kita bisa tahu kalau ada gap."
Bagaimana saya mengatakannya ya? Sejauh ini app ini bagus dan mudah untuk dijangkau oleh otak saya.
cukup mudah di gunakan
indikator nya lengkap dan mudah dipahami. Keren banget
Mantapp mudah di gunakan dan di pahami bagi yang awam
bikin folder watchlist saham saja. ribet. aplikasi apaan ini..
Salah satu sekuritas terbest karena fitur lengkap dan bisa stream. Tiap bulan selalu ada inovasi dan updatean fitur baru. Semoga stockbit bisa menjadi salah satu sekuritas terbaik di Indonesia.
"Saran untuk Stockbit, tambahkan fitur auto order yg bisa pasang auto sell meski ordernya belum match, jadi ketika order match tidak perlu ribet² pasang auto sell (intinya bisa pasang auto sell tanpa harus nunggu saham masuk portofolio/match). Ini sangat berfungsi untuk orang² sibuk, karena seringkali nunggu auto buy yg match berhari² dan ketika match lupa pasang auto sell karena tidak sadar saham sudah masuk portofolio. Sekuritas sebelah ada fitur order ini. Saya ingin Stockbit juga ada."
Aplikasi nya udah bagus tapi masih ada kurang nya. Untuk menu commodities dan currencies ga ada menu jual beli nya
"Simple, enak dipake buat trader pemula maupun pro"
aplikasinya bagus mudah di mengerti
"sudah 3 thn pakai stokbit, bukan tambah baik malah tambah ngaco, data stokbit banyak yang tidak sesuai dengan data aslinya"
Versi 2.33 Running trade di device saya tidak tampil.. 😌
Dulu ga sampe 1jam masalah saldo ga masuk udh selesai skarang menurun bngt udh lebih satu hari ga masuk² kecewa si udh tanya ke cs nya sabar² trs tp ga ada hasil
"Bantuan slow respon, pasword tau"" Suruh ganti bikin ribet"
"mantap, simple aplikasinya"
"Sialan,, aku nyesel mainan SAHAM!! Ternyata Saham tu Seperti bermain JUDI. Aku dah ngalami kerugian 2jt. Dan ini aku g bisa nyalahin siap2 karena aku melakukannya dengan Sadar. Awal2nya pas aku masukin uang sedikit kerasa banyak untung, tp stlah aku coba masukin 20jt malah tiba2 Harga Saham pada anjlok!!! X_X Lebih untung infes di tabungan emas."
error terus.. maintenance terus..
mudah dan sangat gampang buat yg pemula apa lagi udah mahir. . pintar baca pergerakan saham harian. . maka bisa cuan gede
Tertarik untuk menggunakan aplikasi Stockbit. Semoga lancar dan bermanfaat. Dan untuk Stockbit tetap memberikan yang terbaik bagi penggunanya agar dapat diminati banyak penggunanya dan makin maju kedepannya.
"Lambat respon chat supportnya, tolong diperbaiki, ini berkaitan dengan kenyamanan pengguna. Terima kasih."
"Tolong di tingkatkan lagi kualitas aplikasinya., kemarin sempat eror logout dan harus login dari awal"
"Aplikasi yang sangat bagus untuk belajar investasi, aplikasi ringan, analisa lengkap, fitur stream adalah fitur yang paling menarik."
"Aplikasi penipuan,yg ngisi ulasan orang2 mereka sendiri, Hati2,sepertinya klo mau investasi banyak bakal gagal login masuk dgn berbagai alasan, Krn itu yg saya alami skrg,"
"Invest, trading, liat stream, informasi yang bisa didapet responsif dan mudah dibaca, mudah dimengerti... Paling topppp dah!! Keep it guys~"
"Makin ke sana makin ke sini,makin lemot stokbit,order saham aja g di match2 open2 mulu tulisannya,padahal dh nyentuh harganya"
Bagus sekali mohon unt auto stop loss di fungsikan kembali oh iya kenapa Skrang di stockbit ada fee 15 RB per bln nya ya ??
mudah dipahami banyak petunjuk
"Fitur gratisnya sangat dermawan, makasih stockbit. Sedang mempertimbangkan untuk pindah sekuritas. Tolong fitur sort by di menu watchlist nya dipermudah penggunaanya, terlalu ribet kalau haru bolak balik ke pengaturan watchlist melulu."
